,date_of_price,name,distillery,age,vintage,bottled,ABV,ml,numbered,limited_edition,single_cask,ichiros_malt,latest_price
0,2021-02-01,"Chichibu, Blackadder (Ichiro´s Malt)One of 289 Bottles (Cask 745)",Chichibu,6.0,2010.0,2016.0,61.4,700,True,False,False,True,977
1,2021-04-01,"Chichibu, BlackadderOne of 237 Bottles",Chichibu,4.0,2013.0,2018.0,63.0,700,True,False,False,False,1400
2,2020-06-01,"Chichibu, Blackadder (Ichiro´s Malt)One of 311 Bottles (Cask 2630)",Chichibu,6.0,2010.0,2016.0,59.7,700,True,False,False,True,1040
3,2021-05-01,"Chichibu, CadenheadOne of 205 Bottles",Chichibu,6.0,,2020.0,59.0,700,True,False,False,False,527
4,2021-05-01,"Chichibu, Elixir Distillers Miniature",Chichibu,,,,55.3,50,False,False,False,False,357
5,2020-04-01,"Chichibu,(Ichiro´s Malt)One of 227 Bottles (Cask 657)",Chichibu,4.0,2010.0,2014.0,62.1,700,True,False,False,True,666
6,2021-02-01,"Chichibu,(For Matsuri)One of 245 Bottles (Cask 2352)",Chichibu,9.0,2009.0,2018.0,63.1,700,True,False,False,False,1450
7,2011-10-01,"Chichibu,Cask 126)",Chichibu,2.0,2009.0,2011.0,62.0,700,False,False,False,False,90
8,2020-10-01,"Chichibu,(Ichiro´s Malt)One of 622 Bottles (Cask 5821)",Chichibu,10.0,2009.0,2019.0,60.4,700,True,False,False,True,1092
9,2016-10-01,"Chichibu,(Ichiro´s Malt)",Chichibu,4.0,2009.0,2013.0,61.8,700,False,False,False,True,506
10,2020-10-01,"Chichibu,(Ichiro´s Malt)One of 272 Bottles (Cask 1399)",Chichibu,5.0,2011.0,2016.0,61.6,700,True,False,False,True,1092
11,2014-01-01,Chichibu,Chichibu,3.0,2008.0,2011.0,61.8,700,False,False,False,False,182
12,2018-05-01,"Chichibu,(Ichiro´s Malt)",Chichibu,,,2016.0,58.0,700,False,False,False,True,309
13,2021-05-01,"Chichibu,(Ichiro´s Malt)One of 274 Bottles (Cask 1691)",Chichibu,6.0,2012.0,2018.0,60.6,700,True,False,False,True,1402
14,2019-02-01,"Chichibu,(Ichiro´s Malt)One of 304 Bottles (Cask 708)",Chichibu,6.0,2010.0,2016.0,63.1,750,True,False,False,True,769
15,2020-08-01,Chichibu,Chichibu,,,2019.0,60.6,700,False,False,False,False,525
16,2016-12-01,"Chichibu,(Ichiro´s Malt)One of 203 Bottles",Chichibu,6.0,2009.0,2015.0,62.4,700,True,False,False,True,635
17,2019-12-01,"Chichibu,(Ichiro´s Malt)",Chichibu,,,2016.0,61.0,700,False,False,False,True,409
18,2020-06-01,"Chichibu,(Ichiro´s Malt)One of 538 Bottles (Cask 1490)",Chichibu,4.0,2011.0,2015.0,61.1,700,True,False,False,True,636
19,2020-04-01,"Chichibu,(Ichiro´s Malt)One of 221 Bottles (Cask 207)",Chichibu,5.0,2008.0,2013.0,62.0,700,True,False,False,True,1497
20,2016-06-01,"Chichibu,Strong BoxOne of 500 Bottles",Chichibu,,2008.0,,62.0,700,True,False,False,False,401
21,2020-12-01,"Chichibu, ePower10th AnniversaryOne of 249 Bottles (Cask 4662)",Chichibu,6.0,2011.0,2017.0,60.1,700,True,False,False,False,790
